#sampleCount_finite - 2023-12-11T18:51:08.5058393Z
Time,upCounter
2023-12-11T18:51:08.6818328Z,22
2023-12-11T18:51:09.6806508Z,23
2023-12-11T18:51:10.6805241Z,24
2023-12-11T18:51:11.6802059Z,25
2023-12-11T18:51:12.6803338Z,26
2023-12-11T18:51:13.6803571Z,27
2023-12-11T18:51:14.6803191Z,28
2023-12-11T18:51:15.6799386Z,29
2023-12-11T18:51:16.6798949Z,30
2023-12-11T18:51:17.6799661Z,31
2023-12-11T18:51:18.6799063Z,32
2023-12-11T18:51:19.6805431Z,33
2023-12-11T18:51:20.6804283Z,34
2023-12-11T18:51:21.6803705Z,35
2023-12-11T18:51:22.6805141Z,36
2023-12-11T18:51:23.6805420Z,37
2023-12-11T18:51:24.6805973Z,38
2023-12-11T18:51:25.6798916Z,39
2023-12-11T18:51:26.6805272Z,40
2023-12-11T18:51:27.6803817Z,41
2023-12-11T18:51:28.6815795Z,0
2023-12-11T18:51:29.6805335Z,1
2023-12-11T18:51:30.6798969Z,2
2023-12-11T18:51:31.6805094Z,3
2023-12-11T18:51:32.6817206Z,4
2023-12-11T18:51:33.6807735Z,5
2023-12-11T18:51:34.6806046Z,6
2023-12-11T18:51:35.6809300Z,7
2023-12-11T18:51:36.6805870Z,8
2023-12-11T18:51:37.6803287Z,9
2023-12-11T18:51:38.6805086Z,10
2023-12-11T18:51:39.6805381Z,11
2023-12-11T18:51:40.6799480Z,12
2023-12-11T18:51:41.6803729Z,13
2023-12-11T18:51:42.6807838Z,14
2023-12-11T18:51:43.6799154Z,15
2023-12-11T18:51:44.6798479Z,16
2023-12-11T18:51:45.6804181Z,17
2023-12-11T18:51:46.6799063Z,18
2023-12-11T18:51:47.6805982Z,19
